9/9/2014,3pm-6:30pm,Fairway Red Hook,480-500 Van Brunt St,Brooklyn,NY,11231,40.6742833,-74.0171993,brooklyn
9/13/14,TBD,TBD,Boston,Boston,MA,02108,42.356518,-71.063165,boston
9/14/14,TBD,TBD,Boston,Boston,MA,02108,42.356518,-71.063165,boston
9/15/2014,3pm-6:30pm,Stop and Shop,167 Bushy Hill Rd,Simsbury,CT,06070,41.8580813,-72.8318409,hartford
9/8/2014,midday,Stop and Shop,385 New York 25A,Miller Place,NY,11764,40.9418227,-72.9864342,brooklyn
9/10/2014,TBD,Tumblr Corporate Office HQ,35 E 21st St,New York,NY,10010,40.7396275,-73.9883999,brooklyn
9/17/2014,3pm-6:30pm,Stop and Shop ,55 Oak St,Glastonbury,CT,06033,41.706877,-72.594697,hartford
9/19/2014,3pm-6:30pm,Whole Foods,55 Welles St,Glastonbury,CT,06033,41.714676,-72.607038,hartford
9/21/2014,10am-1:30pm,Big Y,234 Tolland Turnpike,Manchester,CT,06042,41.8097219,-72.5146263,hartford
9/21/2014,3pm-6:30pm,Big Y,33 Fieldstone Commons,Tolland,CT,06084,41.8593199,-72.3583905,hartford
9/23/2014,3pm-6:30pm,Whole Foods University,601 N Main St,Providence,RI,02904,41.837139,-71.408469,rhode
9/27/2014,TBD,College Fest Philly,2600 Benjamin Franklin Pkwy,Philadelphia,PA,19130,39.9658015,-75.1811616,philadelphia
10/1/2014,3pm-6:30pm,Big Y,1111 Providence Hwy Rte 1,Walpole,MA,02081,42.1470851,-71.2517835,boston
10/2/2014,3pm-6:30pm,Stop and Shop,65 Newport Ave,Quincy,MA,02171,42.2710155,-71.0267379,boston
10/3/2014,3pm-6:30pm,Whole FoodsMarket,647 Washington Street,Newtonville,MA,02458,42.3541273,-71.2000765,boston
10/6/2014,3pm-6:30pm,Whole Foods Fresh Pond,200 Alewife Brook Pkwy,Cambridge,MA,02138,42.3892095,-71.1416163,boston
10/10/2014,3pm-6:30pm,Adams Fairacre Farms,1240 Route 300,Newburgh,NY,12550,41.5026757,-74.0686882,upstate
10/11/2014,10am - 1:30pm,Wegmans,745 Calkins Road,Rochester,NY,14623,43.0671157,-77.611873,upstate
10/11/2014,3pm-6:30pm,Mother's Earth Storehouse,1955 S Rd,Poughkeepsie,NY,12601,41.6675252,-73.9288981,upstate
10/12/2014,3pm-6:30pm,Wegmans,2157 Penfield Rd,Penfield,NY,14526,43.129456,-77.444944,upstate
10/12/2014,3pm-6:30pm,Wegmans,3195 Monroe Ave,Rochester,NY,14618,43.10572,-77.542745,upstate
